ref,pin,x_mm,y_mm,net,drill_mm,pad_mm
U1,L1-VIN,10.2375,16.1850,5V,1.10,2.00
U1,R1-3V3,35.7625,16.1850,3V3,1.10,2.00
U1,L2-GND,10.2375,18.7050,GND,1.10,2.00
U1,R2-GND,35.7625,18.7050,GND,1.10,2.00
U1,L3-D13,10.2375,21.2250,NC,1.10,2.00
U1,R3-D15,35.7625,21.2250,NC,1.10,2.00
U1,L4-D12,10.2375,23.7450,NC,1.10,2.00
U1,R4-D2,35.7625,23.7450,NC,1.10,2.00
U1,L5-D14,10.2375,26.2650,NC,1.10,2.00
U1,R5-D4,35.7625,26.2650,NC,1.10,2.00
U1,L6-D27,10.2375,28.7850,HALL,1.10,2.00
U1,R6-RX2,35.7625,28.7850,NC,1.10,2.00
U1,L7-D26,10.2375,31.3050,NC,1.10,2.00
U1,R7-TX2,35.7625,31.3050,NC,1.10,2.00
U1,L8-D25,10.2375,33.8250,ESC_PWM_3V3,1.10,2.00
U1,R8-D5,35.7625,33.8250,NC,1.10,2.00
U1,L9-D33,10.2375,36.3450,NC,1.10,2.00
U1,R9-D18,35.7625,36.3450,DATA_A_3V3,1.10,2.00
U1,L10-D32,10.2375,38.8650,NC,1.10,2.00
U1,R10-D19,35.7625,38.8650,CLOCK_A_3V3,1.10,2.00
U1,L11-D35,10.2375,41.3850,NC,1.10,2.00
U1,R11-D21,35.7625,41.3850,NC,1.10,2.00
U1,L12-D34,10.2375,43.9050,NC,1.10,2.00
U1,R12-RX0,35.7625,43.9050,NC,1.10,2.00
U1,L13-VN,10.2375,46.4250,NC,1.10,2.00
U1,R13-TX0,35.7625,46.4250,NC,1.10,2.00
U1,L14-VP,10.2375,48.9450,NC,1.10,2.00
U1,R14-D22,35.7625,48.9450,CLOCK_B_3V3,1.10,2.00
U1,L15-EN,10.2375,51.4650,NC,1.10,2.00
U1,R15-D23,35.7625,51.4650,DATA_B_3V3,1.10,2.00
U4,1,48.1900,22.0000,GND,1.10,2.00
U4,2,48.1900,24.5400,DATA_A_3V3,1.10,2.00
U4,3,48.1900,27.0800,DATA_A_BUF,1.10,2.00
U4,4,48.1900,29.6200,GND,1.10,2.00
U4,5,48.1900,32.1600,CLOCK_A_3V3,1.10,2.00
U4,6,48.1900,34.7000,CLOCK_A_BUF,1.10,2.00
U4,7,48.1900,37.2400,GND,1.10,2.00
U4,8,55.8100,37.2400,DATA_B_BUF,1.10,2.00
U4,9,55.8100,34.7000,DATA_B_3V3,1.10,2.00
U4,10,55.8100,32.1600,GND,1.10,2.00
U4,11,55.8100,29.6200,CLOCK_B_BUF,1.10,2.00
U4,12,55.8100,27.0800,CLOCK_B_3V3,1.10,2.00
U4,13,55.8100,24.5400,GND,1.10,2.00
U4,14,55.8100,22.0000,5V,1.10,2.00
J_A,1,84.0000,18.0000,5V,1.10,2.00
J_A,2,84.0000,20.5400,GND,1.10,2.00
J_A,3,84.0000,23.0800,DATA_A,1.10,2.00
J_A,4,84.0000,25.6200,CLOCK_A,1.10,2.00
J_B,1,84.0000,38.0000,5V,1.10,2.00
J_B,2,84.0000,40.5400,GND,1.10,2.00
J_B,3,84.0000,43.0800,DATA_B,1.10,2.00
J_B,4,84.0000,45.6200,CLOCK_B,1.10,2.00
J_RING,1,4.0000,60.0000,5V,1.10,2.00
J_RING,2,6.5400,60.0000,5V,1.10,2.00
J_RING,3,9.0800,60.0000,GND,1.10,2.00
J_RING,4,11.6200,60.0000,GND,1.10,2.00
J_RING,5,14.1600,60.0000,ESC_PWM,1.10,2.00
J_RING,6,16.7000,60.0000,NC,1.10,2.00
J_HALL,1,44.0000,4.5000,GND,1.10,2.00
J_HALL,2,46.5400,4.5000,3V3,1.10,2.00
J_HALL,3,49.0800,4.5000,HALL,1.10,2.00
R1,1,69.0000,14.0000,DATA_A_BUF,1.10,2.00
R1,2,76.6200,14.0000,DATA_A,1.10,2.00
R2,1,69.0000,18.0000,CLOCK_A_BUF,1.10,2.00
R2,2,76.6200,18.0000,CLOCK_A,1.10,2.00
R3,1,69.0000,37.0000,DATA_B_BUF,1.10,2.00
R3,2,76.6200,37.0000,DATA_B,1.10,2.00
R4,1,69.0000,30.0000,CLOCK_B_BUF,1.10,2.00
R4,2,76.6200,30.0000,CLOCK_B,1.10,2.00
R5,1,24.0000,55.0000,ESC_PWM_3V3,1.10,2.00
R5,2,31.6200,55.0000,ESC_PWM,1.10,2.00
R6,1,36.0000,10.0000,3V3,1.10,2.00
R6,2,43.6200,10.0000,HALL,1.10,2.00
C3,1,58.5000,24.0000,5V,1.10,2.00
C3,2,61.0400,24.0000,GND,1.10,2.00
C4,1,82.0000,8.0000,5V,1.00,2.20
C4,2,82.0000,13.0000,GND,1.00,2.20
C5,1,82.0000,50.0000,5V,1.00,2.20
C5,2,82.0000,54.0000,GND,1.00,2.20
V1,1,38.0000,48.9450,CLOCK_B_3V3,0.40,0.90
V2,1,38.0000,18.0000,CLOCK_B_3V3,0.40,0.90
