ref,pin,x_mm,y_mm,net,drill_mm,pad_mm
U1,L1-VIN,31.2375,17.3600,5V,1.00,2.00
U1,R1-3V3,56.7625,17.3600,3V3,1.00,2.00
U1,L2-GND,31.2375,19.8800,GND,1.00,2.00
U1,R2-GND,56.7625,19.8800,GND,1.00,2.00
U1,L3-D13,31.2375,22.4000,NC,1.00,2.00
U1,R3-D15,56.7625,22.4000,NC,1.00,2.00
U1,L4-D12,31.2375,24.9200,NC,1.00,2.00
U1,R4-D2,56.7625,24.9200,NC,1.00,2.00
U1,L5-D14,31.2375,27.4400,NC,1.00,2.00
U1,R5-D4,56.7625,27.4400,NC,1.00,2.00
U1,L6-D27,31.2375,29.9600,HALL,1.00,2.00
U1,R6-RX2,56.7625,29.9600,NC,1.00,2.00
U1,L7-D26,31.2375,32.4800,NC,1.00,2.00
U1,R7-TX2,56.7625,32.4800,NC,1.00,2.00
U1,L8-D25,31.2375,35.0000,ESC_PWM_3V3,1.00,2.00
U1,R8-D5,56.7625,35.0000,NC,1.00,2.00
U1,L9-D33,31.2375,37.5200,NC,1.00,2.00
U1,R9-D18,56.7625,37.5200,DATA_A_3V3,1.00,2.00
U1,L10-D32,31.2375,40.0400,NC,1.00,2.00
U1,R10-D19,56.7625,40.0400,CLOCK_A_3V3,1.00,2.00
U1,L11-D35,31.2375,42.5600,NC,1.00,2.00
U1,R11-D21,56.7625,42.5600,NC,1.00,2.00
U1,L12-D34,31.2375,45.0800,NC,1.00,2.00
U1,R12-RX0,56.7625,45.0800,NC,1.00,2.00
U1,L13-VN,31.2375,47.6000,NC,1.00,2.00
U1,R13-TX0,56.7625,47.6000,NC,1.00,2.00
U1,L14-VP,31.2375,50.1200,NC,1.00,2.00
U1,R14-D22,56.7625,50.1200,CLOCK_B_3V3,1.00,2.00
U1,L15-EN,31.2375,52.6400,NC,1.00,2.00
U1,R15-D23,56.7625,52.6400,DATA_B_3V3,1.00,2.00
U4,1,73.1900,18.0000,GND,1.00,2.00
U4,2,73.1900,20.5400,DATA_A_3V3,1.00,2.00
U4,3,73.1900,23.0800,DATA_A_BUF,1.00,2.00
U4,4,73.1900,25.6200,GND,1.00,2.00
U4,5,73.1900,28.1600,CLOCK_A_3V3,1.00,2.00
U4,6,73.1900,30.7000,CLOCK_A_BUF,1.00,2.00
U4,7,73.1900,33.2400,GND,1.00,2.00
U4,8,80.8100,33.2400,DATA_B_BUF,1.00,2.00
U4,9,80.8100,30.7000,DATA_B_3V3,1.00,2.00
U4,10,80.8100,28.1600,GND,1.00,2.00
U4,11,80.8100,25.6200,CLOCK_B_BUF,1.00,2.00
U4,12,80.8100,23.0800,CLOCK_B_3V3,1.00,2.00
U4,13,80.8100,20.5400,GND,1.00,2.00
U4,14,80.8100,18.0000,5V,1.00,2.00
U2-MP1584,IN-,7.0000,60.0000,GND,1.30,3.40
U2-MP1584,IN+,20.0000,60.0000,VBAT,1.30,3.40
U2-MP1584,OUT-,7.0000,44.0000,GND,1.30,3.40
U2-MP1584,OUT+,20.0000,44.0000,5V,1.30,3.40
J_A,1,105.0000,10.0000,5V,1.00,2.00
J_A,2,105.0000,12.5400,GND,1.00,2.00
J_A,3,105.0000,15.0800,DATA_A,1.00,2.00
J_A,4,105.0000,17.6200,CLOCK_A,1.00,2.00
J_B,1,105.0000,51.5000,5V,1.00,2.00
J_B,2,105.0000,54.0400,GND,1.00,2.00
J_B,3,105.0000,56.5800,DATA_B,1.00,2.00
J_B,4,105.0000,59.1200,CLOCK_B,1.00,2.00
J_HALL,1,67.0000,62.0000,GND,1.00,2.00
J_HALL,2,67.0000,64.5400,3V3,1.00,2.00
J_HALL,3,67.0000,67.0800,HALL,1.00,2.00
J_RING,1,7.0000,67.0000,VBAT,1.00,2.00
J_RING,2,9.5400,67.0000,VBAT,1.00,2.00
J_RING,3,12.0800,67.0000,GND,1.00,2.00
J_RING,4,14.6200,67.0000,GND,1.00,2.00
J_RING,5,17.1600,67.0000,ESC_PWM,1.00,2.00
J_RING,6,19.7000,67.0000,SPARE,1.00,2.00
R1,1,61.3800,23.0800,DATA_A,1.00,2.00
R1,2,69.0000,23.0800,DATA_A_BUF,1.00,2.00
R2,1,61.3800,30.7000,CLOCK_A,1.00,2.00
R2,2,69.0000,30.7000,CLOCK_A_BUF,1.00,2.00
R3,1,87.0000,38.3200,DATA_B_BUF,1.00,2.00
R3,2,94.6200,38.3200,DATA_B,1.00,2.00
R4,1,87.0000,45.9400,CLOCK_B_BUF,1.00,2.00
R4,2,94.6200,45.9400,CLOCK_B,1.00,2.00
R5,1,24.0000,61.5000,ESC_PWM_3V3,1.00,2.00
R5,2,31.6200,61.5000,ESC_PWM,1.00,2.00
R6,1,59.5000,59.0000,3V3,1.00,2.00
R6,2,67.1200,59.0000,HALL,1.00,2.00
C3,1,84.0000,18.0000,5V,1.00,2.00
C3,2,84.0000,21.0000,GND,1.00,2.00
C4,1,100.0000,8.0000,5V,1.00,2.80
C4,2,100.0000,12.0000,GND,1.00,2.80
C5,1,100.0000,50.0000,5V,1.00,2.80
C5,2,100.0000,54.0000,GND,1.00,2.80
