from,to,net,note
BATTERY_SWITCHED+,RING_1+RING_2,VBAT_STATOR,"parallel only after channel validation"
BATTERY-,RING_3+RING_4,GND_STATOR,"common ground"
RING_1+RING_2,MP1584_IN+,VBAT_ROTOR,"rotor side"
RING_3+RING_4,MP1584_IN-+MP1584_OUT-,GND_ROTOR,"common rotor ground"
MP1584_OUT+,ESP32_VIN,5V_ROTOR,"rotor side"
MP1584_OUT+,SN74AHCT125_PIN14,5V_ROTOR,"100 nF to pin 7"
MP1584_OUT+,APA102_A_5V+APA102_B_5V,5V_ROTOR,"star wiring"
MP1584_OUT-,ESP32_GND+SN74AHCT125_PIN7+KY003_GND+APA102_GND,GND_ROTOR,"common rotor ground"
ESP32_GPIO18,SN74AHCT125_PIN2,LED_A_DATA_3V3,
SN74AHCT125_PIN3,R_DATA_A,LED_A_DATA_5V,"330-470 ohm"
R_DATA_A,APA102_A_DI,LED_A_DATA_IN,
ESP32_GPIO19,SN74AHCT125_PIN5,LED_A_CLOCK_3V3,
SN74AHCT125_PIN6,R_CLOCK_A,LED_A_CLOCK_5V,"330-470 ohm"
R_CLOCK_A,APA102_A_CI,LED_A_CLOCK_IN,
ESP32_GPIO23,SN74AHCT125_PIN9,LED_B_DATA_3V3,
SN74AHCT125_PIN8,R_DATA_B,LED_B_DATA_5V,"330-470 ohm"
R_DATA_B,APA102_B_DI,LED_B_DATA_IN,
ESP32_GPIO22,SN74AHCT125_PIN12,LED_B_CLOCK_3V3,
SN74AHCT125_PIN11,R_CLOCK_B,LED_B_CLOCK_5V,"330-470 ohm"
R_CLOCK_B,APA102_B_CI,LED_B_CLOCK_IN,
ESP32_3V3,KY003_VCC,3V3_HALL,
KY003_OUT,ESP32_GPIO27,HALL_OUT,"must remain <=3.3 V"
ESP32_GPIO25,R_PWM,ESC_PWM_ROTOR,"220 ohm"
R_PWM,RING_5,ESC_PWM,"to stationary ESC signal"
SN74AHCT125_PIN1+PIN4+PIN10+PIN13,GND_ROTOR,BUFFER_ENABLE,"all OE low"
